model,line,name,date,price
Y,SR - AWD,Model Y,2023-04-06,49990
Y,SR - AWD,Model Y,2023-04-17,49990
Y,SR - AWD,Model Y,2023-04-18,46990
Y,SR - AWD,Model Y,2023-04-28,46990
Y,SR - AWD,Model Y,2023-04-30,46990
Y,SR - AWD,Model Y,2023-05-01,47240
Y,SR - AWD,Model Y,2023-05-10,47240
Y,SR - AWD,Model Y,2023-05-11,47490
Y,SR - AWD,Model Y,2023-05-19,47490
Y,LR - AWD,Model Y Long Range,2019-03-15,51000
Y,LR - AWD,Model Y Long Range,2019-03-23,51000
Y,LR - AWD,Model Y Long Range,2019-03-24,52000
Y,LR - AWD,Model Y Long Range,2020-01-28,52000
Y,LR - AWD,Model Y Long Range,2020-01-29,52990
Y,LR - AWD,Model Y Long Range,2020-07-10,52990
Y,LR - AWD,Model Y Long Range,2020-07-11,49990
Y,LR - AWD,Model Y Long Range,2021-01-07,49990
Y,LR - AWD,Model Y Long Range,2021-02-16,49990
Y,LR - AWD,Model Y Long Range,2021-02-17,49990
Y,LR - AWD,Model Y Long Range,2021-02-20,49990
Y,LR - AWD,Model Y Long Range,2021-02-21,48990
Y,LR - AWD,Model Y Long Range,2021-03-10,48990
Y,LR - AWD,Model Y Long Range,2021-03-11,49900
Y,LR - AWD,Model Y Long Range,2021-04-07,49900
Y,LR - AWD,Model Y Long Range,2021-04-08,50490
Y,LR - AWD,Model Y Long Range,2021-04-21,50490
Y,LR - AWD,Model Y Long Range,2021-04-22,50990
Y,LR - AWD,Model Y Long Range,2021-05-05,50990
Y,LR - AWD,Model Y Long Range,2021-05-06,51490
Y,LR - AWD,Model Y Long Range,2021-05-20,51490
Y,LR - AWD,Model Y Long Range,2021-05-21,51990
Y,LR - AWD,Model Y Long Range,2021-06-08,51990
Y,LR - AWD,Model Y Long Range,2021-06-09,52490
Y,LR - AWD,Model Y Long Range,2021-06-24,52490
Y,LR - AWD,Model Y Long Range,2021-06-25,52990
Y,LR - AWD,Model Y Long Range,2021-07-21,52990
Y,LR - AWD,Model Y Long Range,2021-07-22,53990
Y,LR - AWD,Model Y Long Range,2021-10-04,53990
Y,LR - AWD,Model Y Long Range,2021-10-05,54990
Y,LR - AWD,Model Y Long Range,2021-10-21,54990
Y,LR - AWD,Model Y Long Range,2021-10-22,56990
Y,LR - AWD,Model Y Long Range,2021-11-03,56990
Y,LR - AWD,Model Y Long Range,2021-11-04,57990
Y,LR - AWD,Model Y Long Range,2021-11-10,57990
Y,LR - AWD,Model Y Long Range,2021-11-11,58990
Y,LR - AWD,Model Y Long Range,2022-03-08,58990
Y,LR - AWD,Model Y Long Range,2022-03-09,59990
Y,LR - AWD,Model Y Long Range,2022-03-13,59990
Y,LR - AWD,Model Y Long Range,2022-03-14,62990
Y,LR - AWD,Model Y Long Range,2022-04-09,62990
Y,LR - AWD,Model Y Long Range,2022-06-14,62990
Y,LR - AWD,Model Y Long Range,2022-06-15,65990
Y,LR - AWD,Model Y Long Range,2022-08-20,65990
Y,LR - AWD,Model Y Long Range,2022-08-21,65990
Y,LR - AWD,Model Y Long Range,2022-12-01,65990
Y,LR - AWD,Model Y Long Range,2022-12-22,65990
Y,LR - AWD,Model Y Long Range,2023-01-11,65990
Y,LR - AWD,Model Y Long Range,2023-01-12,52990
Y,LR - AWD,Model Y Long Range,2023-01-22,52990
Y,LR - AWD,Model Y Long Range,2023-01-23,53490
Y,LR - AWD,Model Y Long Range,2023-02-02,53490
Y,LR - AWD,Model Y Long Range,2023-02-03,54990
Y,LR - AWD,Model Y Long Range,2023-02-09,54990
Y,LR - AWD,Model Y Long Range,2023-02-10,54990
Y,LR - AWD,Model Y Long Range,2023-02-11,54990
Y,LR - AWD,Model Y Long Range,2023-02-12,54990
Y,LR - AWD,Model Y Long Range,2023-04-05,54990
Y,LR - AWD,Model Y Long Range,2023-04-06,52990
Y,LR - AWD,Model Y Long Range,2023-04-17,52990
Y,LR - AWD,Model Y Long Range,2023-04-18,49990
Y,LR - AWD,Model Y Long Range,2023-04-28,49990
Y,LR - AWD,Model Y Long Range,2023-04-30,49990
Y,LR - AWD,Model Y Long Range,2023-05-01,50240
Y,LR - AWD,Model Y Long Range,2023-05-10,50240
Y,LR - AWD,Model Y Long Range,2023-05-11,50490
Y,LR - AWD,Model Y Long Range,2023-05-19,50490
Y,P,Model Y Performance,2019-03-15,60000
Y,P,Model Y Performance,2019-03-23,60000
Y,P,Model Y Performance,2019-03-24,61000
Y,P,Model Y Performance,2020-01-28,61000
Y,P,Model Y Performance,2020-01-29,60990
Y,P,Model Y Performance,2020-07-10,60990
Y,P,Model Y Performance,2020-07-11,59990
Y,P,Model Y Performance,2021-01-07,59990
Y,P,Model Y Performance,2021-02-16,59990
Y,P,Model Y Performance,2021-02-17,60990
Y,P,Model Y Performance,2021-02-20,60990
Y,P,Model Y Performance,2021-02-21,60990
Y,P,Model Y Performance,2021-03-10,60990
Y,P,Model Y Performance,2021-03-11,60990
Y,P,Model Y Performance,2021-04-07,60990
Y,P,Model Y Performance,2021-04-08,60990
Y,P,Model Y Performance,2021-04-21,60990
Y,P,Model Y Performance,2021-04-22,60990
Y,P,Model Y Performance,2021-05-05,60990
Y,P,Model Y Performance,2021-05-06,60990
Y,P,Model Y Performance,2021-05-20,60990
Y,P,Model Y Performance,2021-05-21,60990
Y,P,Model Y Performance,2021-06-08,60990
Y,P,Model Y Performance,2021-06-09,60990
Y,P,Model Y Performance,2021-06-24,60990
Y,P,Model Y Performance,2021-06-25,60990
Y,P,Model Y Performance,2021-07-21,60990
Y,P,Model Y Performance,2021-07-22,60990
Y,P,Model Y Performance,2021-10-04,60990
Y,P,Model Y Performance,2021-10-05,61990
Y,P,Model Y Performance,2021-10-21,61990
Y,P,Model Y Performance,2021-10-22,61990
Y,P,Model Y Performance,2021-11-03,61990
Y,P,Model Y Performance,2021-11-04,62990
